0.2,TON,1.07,n/a
0.2,SNAIL,52.27,23.70
0.2,SERP,4.27,3.30
0.2,PIS,1.07,0.61
0.2,LIT,12.80,9.26
0.2,DER,3.20,0.80
0.2,HERM,1.07,n/a
0.2,CRA,1.07,n/a
0.2,CHIT,1.07,n/a
0.2,BLO,0.27,n/a
0.2,ACM,1.07,n/a
0.5,CRA,4.27,1.89
0.5,TON,2.13,1.45
0.5,LIM,17.07,14.01
0.5,BLO,0.27,n/a
0.5,HERM,2.13,n/a
0.5,SNAIL,4.27,3.30
0.5,LIT,4.27,n/a
0.5,PIS,2.13,0.77
0.5,DER,1.33,0.50
1,LIM,3.20,2.32
1,SCUL,1.07,n/a
1,SNAIL,5.33,4.32
1,CRA,7.47,3.44
1,HERM,6.40,3.42
1,TON,5.33,2.55
1,LIT,21.33,n/a
1,XAN,4.53,2.34
1,KAT,0.53,0.36
1,PIS,5.87,2.56
1,DER,0.53,0.36
1.5,HERM,4.27,3.30
1.5,TON,3.20,1.71
1.5,LIT,8.53,5.81
1.5,XAN,4.00,2.24
1.5,KAT,4.27,1.48
1.5,PIS,11.73,3.77
2,LIM,48.00,20.30
2,CRA,1.07,n/a
2,SCUL,1.07,n/a
2,KAT,0.27,n/a
2,PIS,5.07,2.32
2,XAN,4.80,2.18
2,LIT,8.53,n/a
2.5,SNAIL,11.73,7.72
2.5,HER,1.07,n/a
2.5,PIS,0.27,n/a
2.5,XAN,1.07,0.83
2.5,LIM,121.60,35.36
2.5,LIT,435.20,152.63
3,CRA,1.07,n/a
3,LIM,152.53,29.37
3,LIT,2833.07,669.83
3.5,LIT,10.67,n/a
3.5,LIM,627.20,213.75
ï»¿Tidal height (m),Species,Avg Density (/m2),Std Error